"Track file for silverstone","2020-07-01 19:31:18",0.000,4,1,v3"
"dist","pos_z","pos_x","pos_y","drs","sector" 
2.68701171875,-459.9174499511719,342.56573486328125,-3.4175519943237305,0,0
5.12841796875,-458.4982604980469,340.5884094238281,-3.4101240634918213,0,0
7.58349609375,-457.0738830566406,338.6050720214844,-3.402376174926758,0,0
10.04248046875,-455.642578125,336.61260986328125,-3.393587350845337,0,0
12.50537109375,-454.208251953125,334.6158447265625,-3.384126663208008,0,0
14.97802734375,-452.7719421386719,332.615966796875,-3.374530792236328,0,0
17.46044921875,-451.3292541503906,330.6072082519531,-3.3654727935791016,0,0
19.94873046875,-449.8819580078125,328.5923156738281,-3.35697865486145,0,0
22.43896484375,-448.42974853515625,326.57147216796875,-3.349076271057129,0,0
24.93896484375,-446.97674560546875,324.5503845214844,-3.3413004875183105,0,0
27.44091796875,-445.516845703125,322.5211181640625,-3.333172559738159,0,0
29.95068359375,-444.05511474609375,320.4908447265625,-3.3242604732513428,0,0
32.46630859375,-442.5888366699219,318.45599365234375,-3.3146791458129883,0,0
34.98779296875,-441.1177978515625,316.416748046875,-3.305027484893799,0,0
37.51513671875,-439.6418151855469,314.37347412109375,-3.2956011295318604,0,0
40.05419921875,-438.1608581542969,312.3260803222656,-3.2860569953918457,0,0
42.59326171875,-436.6724548339844,310.27081298828125,-3.275628089904785,0,0
45.14013671875,-435.181884765625,308.215087890625,-3.263979911804199,0,0
47.69873046875,-433.686279296875,306.1546936035156,-3.2511439323425293,0,0
50.26904296875,-432.18353271484375,304.08660888671875,-3.2377376556396484,0,0
52.83544921875,-430.6727294921875,302.010009765625,-3.22469425201416,0,0
55.40576171875,-429.1636962890625,299.9380798339844,-3.21244215965271,0,0
58.00927734375,-427.64996337890625,297.8621520996094,-3.20058274269104,0,0
60.60302734375,-426.116455078125,295.7610168457031,-3.187939167022705,0,0
63.19091796875,-424.58892822265625,293.6694030761719,-3.1742191314697266,0,0
65.78662109375,-423.0628967285156,291.58099365234375,-3.1589622497558594,0,0
68.38818359375,-421.53326416015625,289.48828125,-3.142425537109375,0,0
70.99560546875,-419.9983825683594,287.3887939453125,-3.1246256828308105,0,0
73.60693359375,-418.46173095703125,285.28729248046875,-3.1059370040893555,0,0
76.22216796875,-416.9215087890625,283.1814880371094,-3.0868890285491943,0,0
78.84521484375,-415.3775939941406,281.0716857910156,-3.0684173107147217,0,0
81.47216796875,-413.8299865722656,278.9579162597656,-3.050525426864624,0,0
84.10498046875,-412.278564453125,276.8401794433594,-3.0321240425109863,0,0
86.74365234375,-410.7233581542969,274.7185974121094,-3.011681079864502,0,0
89.38623046875,-409.16448974609375,272.5931396484375,-2.988534688949585,0,0
92.03466796875,-407.6020812988281,270.4638977050781,-2.96403431892395,0,0
94.72998046875,-406.0362548828125,268.3308410644531,-2.9396331310272217,0,0
97.38623046875,-404.4411926269531,266.1588134765625,-2.914834499359131,0,0
100.04638671875,-402.8686218261719,264.0179443359375,-2.8892412185668945,0,0
102.71435546875,-401.2929382324219,261.8731384277344,-2.8613486289978027,0,0
105.38427734375,-399.71429443359375,259.7245178222656,-2.8312149047851562,0,0
